id,price
193573,878.24
193574,2387.23
193575,2238.86
193576,923.01
193577,5893.55
193578,672.4
193579,13106.44
193580,3148.8
193581,15176.27
193582,1795.34
193583,4999.63
193584,788.925
193585,6550.82
193586,1729.93
193587,531.44
193588,1809.6457142857141
193589,1031.55
193590,4364.03
193591,8913.6
193592,1822.12
193593,674.35
193594,657.22
193595,8499.8
193596,5739.69
193597,3933.43
193598,595.6828571428572
193599,2136.03
193600,2757.39
193601,2480.59
193602,508.92
193603,1392.21
193604,833.71
193605,7353.97
193606,1007.28
193607,431.31
193608,1567.64
193609,3583.89
193610,7548.49
193611,11387.73
193612,6035.84
193613,585.69
193614,944.98
193615,1934.8
193616,1803.6875
193617,863.72
193618,4465.19
193619,2576.57
193620,13294.43
193621,5540.12
193622,654.09
193623,1784.4
193624,5259.78
193625,3667.5
193626,4204.7675
193627,4214.17
193628,1254.05
193629,1245.02
193630,2932.91
193631,12700.94
193632,872.655
193633,4594.93
193634,507.13
193635,4479.76
193636,2309.92
193637,1410.45
193638,559.39
193639,7394.47
193640,8883.18
193641,11922.98
193642,5035.24
193643,4095.81
193644,4747.92
193645,1475.32
193646,674.74
193647,4517.94
193648,1497.79
193649,5204.43
193650,998.5
193651,2070.19
193652,1779.89
193653,471.67
193654,6276.28
193655,1911.38
193656,3737.14
193657,4077.52
193658,4826.636666666666
193659,830.88
193660,937.51
193661,3378.75
193662,5590.85
193663,488.73
193664,5578.07
193665,1657.41
193666,6838.77
193667,3476.58
193668,1712.48
193669,683.0
193670,5214.14
193671,4734.52
193672,671.78
193673,891.5966666666667
193674,1212.7
193675,898.37
193676,909.62
193677,13925.88
193678,936.27
193679,10923.02
193680,6717.21
193681,3672.85
193682,1706.94
193683,1118.63
193684,2337.08
193685,1155.18
193686,6309.91
193687,8085.3
193688,3082.82
193689,15265.93
193690,4107.92
193691,941.33
193692,963.9133333333333
193693,2318.97
193694,698.53
193695,4696.54
193696,643.34
193697,10187.05
193698,669.59
193699,2016.4
193700,926.57
193701,7513.93
193702,17297.85
193703,1288.14
193704,710.48
193705,2633.31
193706,9429.06
193707,1212.22
193708,4051.68
193709,546.31
193710,521.7
193711,12931.47
193712,3665.0559999999996
193713,13834.33
193714,730.03
193715,2476.97
193716,5199.79
193717,14243.53
193718,858.4733333333332
193719,2230.5
193720,5528.97
193721,1371.5
193722,745.755
193723,14867.37
193724,823.48
193725,1582.09
193726,1488.4
193727,4883.34
193728,1796.53
193729,3076.59
193730,897.53
193731,3040.4803333333334
193732,2282.31
193733,455.62
193734,1560.36
193735,5572.08
193736,4915.78
193737,3053.22
193738,2410.94
193739,654.49
193740,1428.79
193741,3724.495000000001
193742,2993.57
193743,842.45
193744,3615.96
193745,4240.84
193746,1571.41
193747,1701.95
193748,1379.04
193749,5643.4
193750,2909.09
193751,1083.91
193752,10199.19
193753,1107.66
193754,3976.75
193755,6353.58
193756,589.95
193757,1166.5866666666666
193758,2861.63
193759,4634.635
193760,4341.82
193761,542.0466666666667
193762,5928.7
193763,681.59
193764,920.86
193765,16212.12
193766,881.2
193767,5663.89
193768,670.155
193769,692.56
193770,811.58
193771,702.62
193772,2442.62
193773,955.26
193774,5213.39
193775,686.72
193776,12010.27
193777,3083.94
193778,9777.919
193779,3600.09
193780,2699.1
193781,4039.03
193782,603.8575000000001
193783,523.25
193784,2348.09
193785,5720.58
193786,7671.47
193787,16018.59
193788,729.9279999999999
193789,9014.63
193790,1192.91
193791,463.055
193792,2643.795
193793,4651.82
193794,7868.36
193795,6532.016666666667
193796,15240.6
193797,2556.43
193798,2339.13
193799,984.8433333333331
193800,2881.86
193801,3178.57
193802,3015.14
193803,10760.6
193804,745.85
193805,12792.17
193806,980.02
193807,3506.6
193808,4508.33
193809,4647.56
193810,1873.0970000000002
193811,6162.05
193812,2597.1
193813,465.18
193814,4567.06
193815,752.09
193816,3484.99
193817,1882.12
193818,2759.28
193819,606.105
193820,4197.41
193821,7478.9
193822,3346.78
193823,5173.79
193824,836.69
193825,5210.17
193826,1111.5983333333334
193827,533.3542857142858
193828,770.0025
193829,688.448
193830,495.79
193831,811.02
193832,5771.53
193833,973.32
193834,2151.37
193835,4045.57
193836,6784.58
193837,1564.02
193838,4963.24
193839,3478.23
193840,1725.22
193841,1115.64
193842,2403.65
193843,2001.04
193844,7370.51
193845,7358.97
193846,4637.39
193847,3023.05
193848,3409.22
193849,929.46
193850,551.46
193851,4747.79
193852,9363.69
193853,6555.51
193854,7418.8
193855,16584.84
193856,470.51
193857,14701.12
193858,1007.5433333333333
193859,15601.28
193860,551.5
193861,1935.69
193862,12318.07
193863,4488.04
193864,843.73
193865,871.18
193866,1326.86
193867,529.88
193868,4379.57
193869,2771.56
193870,611.32
193871,2013.25
193872,8300.87
193873,7452.83
193874,1805.76
193875,894.66
193876,1247.03
193877,1865.23
193878,1028.74
193879,8725.75
193880,757.53
193881,2317.88
193882,690.67
193883,7242.63
193884,1810.22
193885,713.94
193886,1578.32
193887,1580.32
193888,778.645
193889,1861.4683333333332
193890,4035.9
193891,3255.53
193892,704.99
193893,1147.65
193894,4804.84
193895,782.56
193896,1115.84
193897,2460.38
193898,12558.03
193899,5641.31
193900,888.54
193901,4765.17
193902,2872.33
193903,10279.19
193904,2318.8
193905,1957.63
193906,594.85
193907,1395.61
193908,2738.65
193909,697.91
193910,2422.4666666666667
193911,564.69
193912,4544.98
193913,2637.19
193914,7164.793333333334
193915,6329.37
193916,6145.99
193917,4616.51
193918,592.99
193919,5241.05
193920,624.21
193921,523.87
193922,1726.7496666666668
193923,793.68
193924,8217.35
193925,1777.47
193926,502.19
193927,2456.54
193928,994.6325
193929,1800.47
193930,2754.665
193931,6620.025
193932,500.56966666666665
193933,1099.31
193934,1092.4
193935,837.03
193936,7234.27
193937,8004.55
193938,3288.49
193939,1711.35
193940,1056.04
193941,578.9
193942,14666.74
193943,643.99
193944,2451.3
193945,1284.32
193946,1415.09
193947,4660.62
193948,6140.84
193949,2338.82
193950,879.674
193951,4928.55
193952,12846.43
193953,8444.08
193954,906.98
193955,1116.27
193956,645.57
193957,1017.78
193958,776.46
193959,4216.75
193960,2745.4240000000004
193961,1158.71
193962,1383.77
193963,1833.94
193964,15407.72
193965,837.16
193966,4112.16
193967,3172.01
193968,1042.0
193969,1051.71
193970,782.83
193971,11855.38
193972,754.57
193973,3390.546
193974,15981.13
193975,6054.18
193976,11167.98
193977,782.22
193978,1316.89
193979,7489.92
193980,7780.23
193981,6362.88
193982,2408.5
193983,1234.45
193984,3343.83
193985,3413.19
193986,1062.84
193987,2124.56
193988,7978.38
193989,2937.33
193990,11942.43
193991,895.43
193992,1465.38
193993,1671.36
193994,813.76
193995,5996.53
193996,879.74
193997,1425.45
193998,9512.92
193999,1868.66
194000,3771.3
194001,767.19
194002,1056.61
194003,557.37
194004,4446.75
194005,758.69
194006,776.95
194007,5822.03
194008,6948.4
194009,6843.13
194010,491.48
194011,2198.82
194012,603.01
194013,1631.75
194014,3193.75
194015,753.35
194016,6168.47
194017,4441.08
194018,1457.79
194019,598.76
194020,1895.4
194021,968.6266666666667
194022,955.55
194023,1079.16
194024,8460.3
194025,722.04
194026,2301.47
194027,969.96
194028,3939.55
194029,4538.02
194030,769.96
194031,16828.08
194032,3757.21
194033,1083.0166666666667
194034,933.73
194035,1057.73
194036,719.86
194037,572.11
194038,880.15
194039,1608.34
194040,4829.26
194041,11793.57
194042,4777.92
194043,1000.4
194044,2902.45
194045,748.19
194046,5367.55
194047,2943.53
194048,4222.29
194049,6457.67
194050,3845.19
194051,8133.62
194052,2023.02
194053,3262.94
194054,10913.84
194055,1401.81
194056,5537.27
194057,7866.6
194058,3357.39
194059,5991.42
194060,3323.03
194061,3723.94
194062,872.94
194063,617.54
194064,5037.48
194065,1398.91
194066,916.1
194067,6062.81
194068,10690.93
194069,945.71
194070,6667.88
194071,4269.57
194072,1819.12
194073,5797.14
194074,969.79
194075,5423.5
194076,2616.07
194077,15556.06
194078,2828.15
194079,608.45
194080,966.17
194081,792.89
194082,6925.08
194083,5608.46
194084,4658.66
194085,4337.8
194086,6141.42
194087,882.18
194088,3675.39
194089,4391.34
194090,3487.54
194091,475.65
